title,year,genre,plot
Unlimited Power,2024,Sci-Fi,
The Tragedy of Lovelace Outwood,2024,"Comedy, Fantasy","The story of Garrett Greenleaf, a troubled man on his honeymoon in Hawaii who was given the task of producing a feature film in France in two months."
Danya,2024,Action,
The Master and Margarita,2024,Animation,"The Master, a writer of a novel banned by the government, and his mistress Margarita, who makes the decision to sell her soul to the devil, who masks himself as a professor in Moscow, to salvage the Master from a psychiatric ward."
The Immortal President,2024,"Biography, Drama","Real story of Abdul Kalam, a minority boy turned exemplary scientist, ""Missile Man"" and 11th President of India. Selfless contribution, dedication towards his motherland and zeal for youth empowerment made him The Immortal President."
Cupcake's,2024,Family,"Cupcake's, the place where everyday is a tasteful day"
After dark,2024,Drama,
Untouchable,2024,"Romance, Thriller",A Man meet's a married women a married women meets a man. Nothing can keep them apart but everything must keep them apart. What would you do?
Halloween: Season of the Boogeyman,2024,Horror,Michael Myers returned to kill again
Heaven and Hell,2024,Drama,
Staycation,2024,"Comedy, Horror, Sci-Fi","As a candid interview carries on between the country's leading virologist and a no-nonsense journalist, college roommates deal with the daily struggles of a global pandemic, and a couple separated between continents play catch up."
Broken Glass,2024,"Animation, Comedy, Drama, Fantasy, Musical, Romance",Dylan meets Luna after many years of graduation and soon they fell in love with each other not knowing the obstacle that is about to come that will change their lives forever in which secrets from Luna's past will also be uncovered.
Adrienne,2024,Action,
The Reunion,2024,Thriller,
Hitpig,2024,"Animation, Action, Adventure, Comedy",A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
Food Fight,2024,Comedy,A Battle is about to Begin.
Toto: The Dog-Gone Amazing Story of the Wizard of Oz,2024,Musical,
The Codfather,2024,"Crime, Sci-Fi, Thriller","A young man wakes up after he blacked out. He doesn't know where he is and why he's lying on the floor. He soon finds himself stuck in a time loop. All he wants is freedom, but the price he has to pay is very high."
A Quiet Place: Day One,2024,"Drama, Horror, Sci-Fi, Thriller",Plot under wraps.
Serena Versus,2024,Horror,"On Serena's birthday, authorities end the search to find her mother, but Serena ventures into the forest with her sister on FaceTime to uncover the truth that lurks within, and alters their realities forever."
Kingdom Reign: Vol. 1,2024,Crime,A drug empire crumbles from within.
1242: Gateway to the West,2024,"Action, History","When the Great Mongolian army is about to invade Europe in 1242 it doesn't expect that a Hungarian castle and its Priest, Eusebius will stop it."
Three Couples Freed,2024,Drama,Three separate couples each decide to make some important decisions on the future of their relationships. Stumbling and searching they try to find their own alternative and drastic paths to happiness.
Vo Ladki,2024,"Drama, Romance","Pathik, decides to move on from every memory of Devyani and goes to meet her one last time with a thought of returning the wrist watch."
Mnemonix,2024,"Action, Sci-Fi, Thriller",After the death of half of the worldwide population by a Virus a scientist has introduced a new form of life: the Mnemonix.
Gina,2024,"Crime, Drama","After spending three years in jail, Juan goes free with the sole aim of recovering the love of his family. Zoe and Ismael, two ex-partners who he betrayed, will return to cross in his way."
We Don't Say Retard Anymore,2024,"Comedy, Drama","When Y-Man, a disabled Finnish influencer, attracts a loyal female fanbase, his online girlfriend's jealousy grows, demanding a meeting in America. However, his condition limits his ability to travel, testing the boundaries of his faith."
Fighter,2024,"Action, Adventure, Thriller, War",An aspirational young man named Shamsher Pathania must overcome his obstacles after enlisting in the Indian Air Force in order to become a hero of the Indian Armed Forces.
Aladdin: Live from the West End,2024,"Adventure, Comedy, Drama, Family, Fantasy, Musical, Romance",A live film recording of Disney's hit Broadway musical based on their classic 1992 animated film. Filmed at the Prince Edward Theatre in London's West End.
Reckless,2024,"Drama, Horror, Romance, Thriller","A re-imagining of the 1987 film ""Fatal Attraction"""
"L'Inferno (Restored, Colorized and Re-edited)",2024,"Action, Family, Fantasy, Horror, Thriller",L'Inferno (1911) was the first Italian feature production in history. It was originally filmed in black and white and as a silent film.
Pulcinella,2024,Drama,"Aine is a secondary school girl from the wrong side of the tracks, who lives in Portrush, NI with her mother Margaret who works as a cleaner for a local office and her grandmother Agnes who has been diagnosed with terminal cancer."
The Mothership,2024,"Adventure, Drama, Family, Sci-Fi","One year after her husband's mysterious disappearance, Sara Morse discovers a strange, extraterrestrial object underneath their home. She and her kids are on a race to find their husband, father, and the truth."
Lachrymose Primrose,2024,"Horror, Thriller","After the unexpected death of his daughter (Chloe Ruth), Caleb McCallum (Tedd Bodnar), a washed-up best-selling author hits rock bottom as he turns to the bottle and a life of solitude in an attempt to cope with his inner demons. His wife, Elizabeth (Michelle Mullins), may be the only one who can save him. But at what cost?"
Una Noche Buena,2024,"Comedy, Drama",
Untitled Universal Event Film,2024,,
Rhapsody in Justice,2024,"Comedy, Drama",A Cable News program is born after the Election of Donald Trump. Influenced by past Civil Rights struggles the Producers are guided by the mystic spirit of children.
Guntur Kaaram,2024,"Action, Drama, Family","Follows Guntur Karam, the king of the underworld of Guntur city, as he falls in love with a journalist working to expose the illegal activities in the city."
The Nerfarious Campaign,2024,Action,"A group of college kids celebrate the end of the semester with a Nerf war for a $500,000 scholarship. Little do they know, there is more at stake than what meets the eye. Will they be able to face the odds of every team to win the scholarship or will they face their ultimate demise?"
Noda Hitam Dalam Pelukan,2024,"Crime, Drama, Thriller","The rookie ""Hansip"" (Neighborhood Patrol Tasks) trying to investigate the murder case of a respectful head of village and charismatic cleric in a small village. The series of unfortunate events slowly opened by the dark truth of human nature."
Serán Legión,2024,"Horror, Mystery","When a woman dies of an inexplicable disease, her widower, a greedy landlord and her sister, obsessed with her house, must survive a sinister psychic and supernatural force that sickens everyone who lives in the house."
Disconnected,2024,"Comedy, Drama, Romance","Lennox Crawford - the successful novelist - is stuck. Choosing to go on a writing retreat to discover some lost passion in the hope it will allow him to bring a major chapter in his life to a close; his novel series. However, as some chapters close, old chapters thought buried find a way back, bringing with it more than just an old flame for writing and his wife is none too pleased."
Wicked Jack,2024,Horror,"Junior, A young introvert, finds a mysterious ring which has the ability to summon the Hellion, Wicked Jack. A demonic entity and merchant of desires and power who makes a deal with Junior for his darkest desire, a succubus sex slave. But the price may cost him more than he bargained for."
La Puerta Verde,2024,Drama,"Emina, a single mother with a sick son, begins a journey searching a Tarahumara healer who lives in the enigmatic mountain range of Chihuahua."
The Hippie Who Came to Roam,2024,"Adventure, Drama, Fantasy, Mystery, Thriller","When her lover goes missing, a mysterious Hippie named Moonflower travels to the small, whimsical town of Roam to uncover what happened to him, only to discover that the rabbit hole of mystery goes down much deeper than she could have ever imagined."
Finding Joy,2024,Thriller,Roni is a loner and aspiring artist whose buried childhood trauma resurfaces in the form of sleep paralysis as she ventures into adulthood and begins to struggle with her identity.
"Mookie Mayberry: Laugh, Live A Little",2024,"Comedy, Drama",
Argylle,2024,"Action, Thriller",An introverted spy novelist is drawn into the activities of a sinister underground syndicate.
Milarepa,2024,Adventure,A post-apocalyptic world. Nature overpowered technology. The 12 year old girl Mila is wrecked by the killing of her father. Mila starts a journey to redeem from her evil actions.
Nothing Unusual,2024,"Animation, Action, Adventure, Comedy","In Japan, Rokurokubi are known to be like Vampires. They're known to be dangerous Yokai for committing horrible deeds. Except for one. Asumi Mayako -- Born a Rokurokubi, now lives a normal life with Karita Dere. Twelve years have passed since Asumi was found in the trash can, and things have been a little complex since Karita and her family decided to adopt Asumi. Asumi still feels worried about what would happen If people found out she's a rokurokubi. However, things get complicated when Asumi's mother, Khayme Mayako is slowly crawling back into her life. Not just that - Asumi's worries and nightmares become a reality as a reunion between Yokai and humans has begun. Experience an animated trip starring a Rokurokubi with a heart of gold."
Dune: Part Two,2024,"Action, Adventure, Drama, Sci-Fi",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
On a Night Like Tonight,2024,"Horror, Mystery, Thriller",
Xenobot,2024,"Action, Adventure, Sci-Fi",Rene Del Toro a young naive boy in a border town of Mexico confronts bullies and evil parents. Thru a toxic pond accident he is transformed into Xenobot a DNA altered Superhéroe with frog-like superpowers.
Clean Water,2024,Documentary,"This epic, sprawling documentary film follows changemakers and inspiring people living along the Ohio River valley-- across 5 states-- striving to make the area a better place."
Alone with the Darkest of Minds,2024,Thriller,"Eric Jonah is in lockdown with no sign of a lift date during the infamous pandemic. Searching for answers, living in a shed as his mind starts to warp. He must reach out to whoever possible for help or the consequences will be disastrous."
Untitled 20th Century,2024,,
Untitled Disney Live Action,2024,,
Untitled Pixar Animation,2024,,15 year old Savon has to go on a adventure of flashbacks of heroic figures in black history to find the answer he needs to write a school essay.
Untitled Marvel,2024,,Plot unknown at this point.
Backstage,2024,Drama,"Backstage is about a small fictional community theater group who are in the middle of rehearsals for their winter production. But behind the scenes chaos, shenanigans, and politics threaten the shows progress as the company juggles their daily lives with the demands of the show."
Untitled Universal Event Film,2024,Horror,
Untitled Universal Animated Event Film,2024,"Animation, Comedy","A rabbit who goes to a farm while the sun damaged the roof, and facing off against the chickens, the tigers, and the swans they banned from the town."
Untitled Illumination Animated Film,2024,,
Untitled Blumhouse Productions Film,2024,,
Sunset Shimmer and the Acidic Universe of Makori,2024,"Action, Comedy, Drama, Fantasy, Sci-Fi","Sunset Shimmer will enter an unknown dimension that is an acidic universe of fiasco, which will face Makori Fujiwhara, a wicked young woman in bad taste who was the cause of turning the universe into a true fiasco."
Foreign scotch,2024,"Crime, Drama, Thriller",
ABFAHRT: Episode 2,2024,"Action, Comedy","Chaos ensues as the ""Stammtisch"" continues on its path of destruction. In the next episode of ABFAHRT, we get to know the squad and why they took it upon themselves to infiltrate the most dangerous military base in the United States."
Superman: Jubilation,2024,"Action, Adventure, Sci-Fi","This story focuses on the version of Superman that many forget, the story of Val-El the Earth 2 Superman. The film follows Val-El on his journey to find his purpose among a race that views him as an outsider."
Dante's Hell,2024,"Adventure, Drama, Family, Fantasy, Horror, Mystery, Thriller","Dante goes on a journey through the first and worst part of the afterlife, Hell. Virgil guides and protects Dante on his dark journey descending circle-by-circle to the center of the Earth, and out into Purgatory (sequel)."
Harold and the Purple Crayon,2024,"Animation, Family, Fantasy",A young boy named Harold embarks on a magical mission with the help of his purple crayon
The Wizard Hunter: The Hunt for Evangelion Crowley,2024,"Adventure, Horror, Mystery, Thriller","A bounty hunter of lost masterpieces of any era, hired by a Swiss Art Collector is at the end of his tasks. But one last assignment will let him discover his hidden and dark legacy."
Blocking,2024,Drama,"Following his high-school graduation, an aspiring actor determines to find the role he was meant to lead."
Hoodie Girls Gang,2024,"Action, Crime, Drama",
Demon Party,2024,"Comedy, Horror",
When the Moon Was Twice as Big,2024,"Adventure, Drama","In the summer of 1969, ten-year-old Jack's passion for astronomy and space exploration ignites brightly within him, inspired by an extraordinary new friend, his test-pilot father, and history unfolding with first steps on the moon. But fate alters his course. In 2009, and about to turn fifty, adult Jack is faced with a choice: continue going through the motions of life -- or take one giant leap of faith and reclaim the dreams of his youth."
Jessica Frost,2024,"Action, Fantasy, Sci-Fi","A young woman searching for the truth about why a time-traveling psychopath is after her, is thrown into a turbulent journey through the desert, time, space and her family's past."
Reparations in America,2024,Drama,"The taking of wealth from Africa: Over 10,000,000 Africans were sold into slavery during the Trans-Atlantic slave trade. Should African Americans receive reparations for slavery."
The Magnificent Raiders of Dimension War One,2024,Sci-Fi,"A collection of rogues must gather information on a mysterious extra-dimensional threat to the galaxy in the 43rd century, and prepare a defense while fending off the first wave of attacks from horrific beings."
Sea of Lies,2024,"Mystery, Thriller","In a small sleepy seashore town, in the span of 24 hours, a dead body is discovered on a beach, and a burnt out Detective is called in to solve the crime with few clues to work with."
Loud,2024,"Comedy, Drama",
Residence,2024,"Action, Adventure, Comedy, Horror, Thriller","The enigmatic hero, a speechless child and a ragtag motley crew journey through a zombie filled apocalyptic landscape to seek shelter in a medieval fun park whilst being pursued by a deranged lunatic."
Mephistopheles,2024,Horror,
House of Paranormal 2,2024,Horror,The sequel to House of Paranormal.
Five Floors,2024,Fantasy,
The Tiger's Apprentice,2024,"Animation, Action, Adventure, Comedy, Family, Fantasy, Thriller","Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
Retour,2024,"Crime, Drama, Thriller",Pasolinis TEOREMA meets CAPE FEAR by Scorsese.
Folded in Grey,2024,"Drama, Horror, Mystery","Candace Moccia, a once prodigious and now reclusive artist is thrust back into the limelight for what could her final masterpiece showcase only to become possessed by her dead and blood thirsty lover toying with her mind, spiraling her into madness."
This Time Next Year I'll Be Famous,2024,"Comedy, Drama, Romance","When Rayna's theatre company faces bankruptcy, she takes one last roll of the dice to turn things around with an experienced director. However due to her non existent budget she ends up with a washed up has been with a bad temper."
Remember Us,2024,"Crime, Drama","Lucas Thompson is sentenced to community service, entailing him to deliver food parcels to the elderly where he finds himself on the doorstep of dementia sufferer; Arthur Miller."
Secret Invasion Stop Motion,2024,"Action, Drama, Thriller","Doctor Strange, Black Panther, and Black Widow have to assemble when they realize a secret invasion is imminent."
Allegedly,2024,,"After serving thirteen years for the murder of his high school girlfriend, an ex-con struggles to reenter society while being documented by two film students determined to dig up his past."
The Levy's Tomb,2024,Comedy,
Dick Reno: Monster Slayer,2024,Comedy,"Join monster slayer Dick Reno, as he joins the team with sexy agent Michelle Pfieffer and vampiress Savannah. Can Dick Reno stop merciless king of vampire's 'Count Moldark""? Stay tuned."
Blonde,2024,Thriller,"A mismatched pair of detectives get caught up in a conspiracy surrounding a actress, while digging into the backstories behind murders, child abductions, and nuclear secrets."
A Night Without Tears,2024,Mystery,"On the 10th year anniversary of her traumatic experience as a child, she returns to her family where the event happened. Her sister joins her only to face a new wave of terror."
The Karate Breaker,2024,Action,"Karate Champion known for his fighting/breaking skills, fights drug gangs to protect the youth of a small town."
The Uncivil War,2024,Drama,"Tom and Byron have been best friends since childhood. Through forty years of friendship, they have experienced just about everything together. But that was before Derek Chauvin knelt on the neck of George Floyd and took his life. Tom is white, Byron is black. But that shouldn't matter when they begin discussing the case, should it? After all, facts are facts. Or are they? What starts out as an academic conversation quickly gets real when their businesses are threatened. Will both men stick to their guns when their livelihoods are at stake?"
Legend of the Melon Heads,2024,Horror,"While working on their senior project, Ada Collins and Kaylee Miller find themselves face to face with the sinister Doctor Crow and his Melon Heads."
Kraven the Hunter,2024,"Action, Adventure, Sci-Fi",Russian immigrant Sergei Kravinoff is on a mission to prove that he is the greatest hunter in the world.
Ben's an Imposter,2024,Drama,
Døde menn går på ski,2024,"Comedy, Crime, Horror, Mystery","Billionaire and playboy Sverre Hartkorn takes a psychoanalyst and seven of his closest friends to the Blåkam cabin to play the Murder Game. The only way to get away from the cottage is a 2 hour snowmobile ride. Anyone who manages to solve the fictitious murder mystery by 21 first day of Easter, wins NOK 5 million. It is said that the murderer Ulvar Mørkli goes back to the cabin, and after only one day the Easter idyll is broken. One of the tour participants is beheaded in the snow. The cabin dwellers have to fight a desperate battle against time and against a murderer who has no intention of giving up immediately."
Never Stop Dreaming,2024,Drama,
Dr. A. P. J. Abdul Kalam,2024,"Biography, Drama","The inspirational journey of the Legend, Missile Man and 11th People's President of India."
Rigged,2024,"Action, Thriller",
Crawlers,2024,Horror,"In the year 2030, a Zombie Pandemic of Biblical proportions decimates the United States' population. American survivors rush to Mexico to 'El Santuario del Sur', the southern sanctuary, a rocky plateau believed to be zombie free."
Trail Blazers: The Aftermath (Part 1),2024,"Action, Western",the plot has been kept under wrap.
Ascension - The Last Asgardian,2024,"Adventure, Fantasy","The Gods are dead and the wicked have descended upon the Northlands. When all hope is lost, a crippled farm boy realizes he is the last son of Odin, the Last Asgardian, and the last hope for his people."
Yodha,2024,"Action, Drama, Thriller",An Aeroplane hijack where a soldier helps the passenger and fight against the terrorist. But the damage to the flight engine made it very tough to survive the situation.
Apophis 2029,2024,Drama,
The Truck,2024,"Comedy, Drama, Romance",
Crossroads Revelation,2024,Thriller,"Players of Munich's fine Society gather at a game of Poker, mixing characters and fates that would have never met otherwise leading from gambling into the night scene behind the big city's facade - a melting pot of greed, lust, ambition, addiction and violence. As the players build up alliances for survival, only one party can make it out this maze of crime."
The Untenable,2024,Thriller,"Brian Connors, of Connors Financial, finds errors in his clients account. Unaware of the dangers his business have put them in, a suspicious wife and his daughter find themselves defenseless when they become the hunted."
Sheran Di Kaum Punjabi,2024,"Action, Adventure, Drama, History, War",
Jett,2024,Drama,The rise and fall of a small time band in Melbourne's underground music scene.
Luna Park,2024,Drama,"In Albania's post-communist landscape, a lonely mother, Mira, and her troubled teenage son, Toni, struggle through an outbreak of civil violence that tears their East European nation apart."
Those in the Shadows,2024,"Action, Drama, Thriller","Two couriers meet on multiple brush passes, never uttering a word. When one breaks orders to make contact, the implications of simple written messages between them have damaging consequences."
Informal Crooks,2024,Crime,Plot kept under wrap.
All Hallows' Steve,2024,Comedy,
Conundrum: Secrets Among Friends,2024,"Drama, Thriller","A story about longtime friends whom have known one another since college. All of whom have been doing well since, with careers in the entertainment industry, on wall street, legal and even in the NFL. When the group decides to take a weekend getaway, to a rented beach house in the Hamptons, all hell breaks loose when secrets among them, come to light."
Uomini e altri inconvenienti,2024,Comedy,
Professor Kimmer's Initiation,2024,Drama,A professor struggling to save his marriage and career who uncovers a society of witches.
Slaughter Horse,2024,Horror,"A woman with a troubled past is kidnapped and imprisoned into a slaughter house run by a masked killer, soon to realize that both of them are not what they seem to be."
Case #111-878,2024,"Crime, Drama, Thriller",
Careful How You Play,2024,"Comedy, Thriller",
Helen,2024,Horror,
Last Flamingo of the Red Summer Sunset,2024,"Drama, History, Western","The frontier is closing, but the imagination of the west remains. Decades since the genocide of a local tribe, there is one final 'wild-man'. Benjamin wishes to rid the land of the indigenous peoples, tasking Henry with extermination."
Teacher's Pet,2024,"Animation, Thriller","When a dog wants to be a boy after watching pinocchio, he meets a mad scientist who steals his mind, now his owner, a lizard, and a parrot have to go into the timeliness to give him pizza and save him."
Pretty Russell,2024,Drama,
Dying for Living,2024,Action,"'Dying for Living' takes you on a thrilling journey into the chaotic world of an aging hitman, consumed by vanity. In a daring quest for redemption, he sets out to gather his long-abandoned family of skilled assassins in the heart of Holland and Hollywood. Their reunion will unleash a storm of mayhem and intrigue. As the twisted plot unfolds, dark secrets surface, alliances are tested, and the boundaries between love and betrayal blur. Brace yourself for an adrenaline-fueled tale where bullets fly, loyalties shatter, and the stakes couldn't be higher."
Version,2024,Sci-Fi,
Untitled Wallace and Gromit Film,2024,Animation,
Untitled Transformers Animation,2024,,
Tom and Jerry Meet the Lion King,2024,Animation,
Dead Heist,2024,Action,
Jaz-O: The Originator,2024,Documentary,
Scorpion,2024,Drama,
Valhalla Awaits,2024,Drama,"A local Houston based production company Revolving Red Productions is producing a Period correct Viking saga with all the trials and tribulations of war, drama, and savagery."
Whistling Kate,2024,Action,"A lone-wolf female US Marshal is attacked by her former lover and notorious bandit, she miraculously rallies a band of crack-shot women in order to stop a GOLD HEIST."
Article 92,2024,"Drama, Sci-Fi",Dan Ravenport is a man who lost everything and now a special interest of the US government.
Bade Miyan Chote Miyan,2024,"Action, Comedy, Thriller","With their contrasting personalities and maverick methods, Bade Miyan and Chote Miyan need to overcome their differences and labor together to transport the offenders to impartiality and preserve the day."
Persona,2024,"Crime, Drama, Thriller",A talented young impersonator falls for a mysterious stranger and is slowly lured into assuming the identity of a missing ivy-league student.
Untitled Thriller Film,2024,Horror,
The Ozu Diaries,2024,Documentary,
Luna in Love,2024,"Action, Comedy",A drug and lust-filled sugar binge leads an aging mobster to chase down his runaway Romanian mail-order-bride.
The Falling Sun,2024,"Drama, Sci-Fi",A struggling journalist envisions his rise from obscurity when he sets up an interview with a high ranking member of a domestic terrorist organisation.
American Wild Cat,2024,,
Two Worlds Back,2024,"Action, Sci-Fi",
Slaraffenland,2024,"Drama, Mystery",Plot under wraps.
L'ora di tutti,2024,Drama,
Sur,2024,Thriller,
Harvey Birdman attorney at law the movie,2024,Crime,
Bare Xchange,2024,Reality-TV,
Atrás De La Sombra,2024,"Horror, Mystery, Thriller",
The Past Is the Past,2024,Horror,"A troubled girl is not haunted by ghosts, but rather her own past lives."
Alien Weekend,2024,,"The night Violet learns she is pregnant, she and her three adorably nerdy best friends find themselves in the heart of an interplanetary crisis after an egg-the last female of an extraterrestrial species-crash lands in their little town."
The Last Aztec Warrior,2024,Action,It tells the story of a man who is extracted from federal prison and called to do one last job to take down a notorious druglord.
Paralelo 7/9,2024,Drama,
The Inn,2024,Horror,"Guest and Staff at the Palm Court Motel have become prey, after a serial killer checks in for the night."
Untitled Woody Woodpecker,2024,"Adventure, Comedy",
Dracula: Rise of the Vampire,2024,Horror,British modern day horror movie based on characters originally created by Bram Stoker and Sheridan Le Fanu.
Hasta Que Nos Encontremos De Neuvo,2024,"Adventure, Romance",A woman in Cuba risks her life to reach her lover in America.
Animals United 2: The Chilldown,2024,Animation,
The Dream Fisher,2024,"Comedy, Drama, Romance",An introspective journey into the mind of a filmmaker in love.
Should Have Waited,2024,Drama,"Paul is a happy, caring family man who enjoys his time with his family and best friend. When his world suddenly comes crashing down around him, limits are tested. Can Paul find a way out of his situation before it's too late?"
The Satire,2024,"Comedy, Drama",Broadcast journalist Shamal shocks the world when he reveals a dark secret
Throne of Blood,2024,"Action, Western",A former gunslinger is forced to take up arms again when his past comes back to haunt him
Kholop 2,2024,Comedy,"Grisha, a former spoiled brat, who was a serf and became a man, after a trip to the ""past"" is sensitive to any injustice. And, of course, he cannot get past the lawlessness that the impudent and spoiled Katya creates. It is not surprising that soon spoiled girl finds itself in a different time."
IJ Inspector Jamshed,2024,"Action, Adventure, Family, Mystery, Thriller","""Unlock the Secrets of an International Espionage Caper: Inspector Jamshed and His Sleuth-Savvy Children Lead the Way to Worldwide Peace and Order!"""
Dimensions 6: The Next Generation,2024,,"Jack, Mark and, Elliot are done with portals but meet these kids named Oliver and Eva who love portals and want to learn and use them."
The Donor,2024,"Crime, Drama","To save his dying son, Joseph (Tom Sizemore) descends into the criminal underworld controlled by Pancho (Robert LaSardo)."
Ghostbusters: Frozen Empire,2024,"Adventure, Comedy, Fantasy, Sci-Fi","When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Untitled Dreamworks Animation Film,2024,"Animation, Adventure, Comedy",
Fanged,2024,"Horror, Thriller","In what was supposed to be a rendezvous, a group of vampires get trapped in a deadly house with no escape."
The Curse of Eddie Bishop,2024,Horror,"A weekend camping trip on the woods turns into a surreal night nightmare, when a ghost story becomes more than just a tale and the woods are more than they appear."
A Blood Moon Rising,2024,"Horror, Thriller, Western","A young alchemist struggles to resurrect the old west town of Celeb's Folly but in doing so, finds his family now in jeopardy. As tensions build, the Blood Moon Rises, accompanied by the howling of wolves and the promise of bloodshed."
RW,2024,Documentary,A documentary on the life of R.W. Martin based on his book Life Inside My Head - A Scattered Tale -Living With ADHD - Ramblin's available on Amazon - The documentary will feature Interviews and footage from R.W.'s career.
Kung Fu Panda 4,2024,"Animation, Action, Adventure, Comedy, Family, Fantasy","Follow Po on his wide-eyed adventures in ancient China, whose love of kung fu is matched only by an insatiable appetite."
Kansas City Dreamin',2024,Documentary,Celebrating Kansas City's African American music history and culture.
Irish Wish,2024,"Comedy, Fantasy, Romance","When the love of Maddie's life gets engaged to her best-friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland."
Inside Out 2,2024,"Animation, Adventure, Comedy, Drama, Family, Fantasy","Follow Riley, in her teenage years, encountering new emotions."
Cem Karaca'nin Gözyaslari,2024,"Biography, Drama, Music",
The Resurrection of Amy Barlow,2024,Horror,Tyler Brody has kept a secret for twenty years. A secret that is quite literally dead and buried in the backwoods of Harper's Grove. Only one other man knows his secret. A man known only as The Emissary.
Untitled M. Night Shyamalan Project,2024,"Horror, Thriller",Plot under wraps.
The Last Remaining Light,2024,Thriller,
Lal Salaam,2024,"Drama, Sport",
Longlegs,2024,"Horror, Thriller","FBI Agent Lee Harker is assigned to an unsolved serial killer case that takes unexpected turns, revealing evidence of the occult. Harker discovers a personal connection to the killer and must stop him before he strikes again."
Zelez,2024,Horror,
Rogue Elements: A Ryan Drake Story,2024,"Action, Thriller","Ryan Drake, hoping to recover an asset, must infiltrate a fortified base, his every move watched by a shadowy figure. He silently makes his way to the base and rescues the asset. Hell breaks out when the figure makes it's presence known."
Crying to the Stars,2024,Thriller,
Onegin,2024,"Drama, Romance","Evgeniy Onegin lives in grand style: balls, receptions, theater premieres and other entertainment that the capital can offer a young man. But social life has long tired him, so he perceives the news of the illness of his uncle living in the village as an opportunity to escape from the disgusting world. However, having reached the estate, Onegin learns about the death of a relative, which, however, does not upset Evgeniy too much. His financial affairs are very sad, and his uncle is rich and has no other heirs. Onegin locks himself in the estate, shuns his neighbors, who very soon begin to call him an eccentric among themselves. Evgeniy lives in aimless solitude until the owner, who has returned from abroad, appears at the neighboring estate - a young, enthusiastic Lenskiy, not yet satiated with life, who introduces Evgeniy to the sisters Tatyana and Olga Larin."
Sto let tomu vperyod,2024,"Adventure, Family, Sci-Fi","Kolya Gerasimov is an ordinary guy: video games, rap and hanging out with friends. The last thing he cares about is the future. Until one day he gets into the future himself. And everything is not easy there. The Earth coalition won the intergalactic war and lives quite happily, only the leaders of the defeated pirate forces are secretly preparing a new offensive. To do this, they need to go back in time and change the course of history, and Kolya unwittingly becomes their tool for time travel. But most importantly, Kolya meets Alisa in the future - a girl who is unlike anyone else and who needs help so much, even though she does not admit it."
Yolun Sonu Nebi,2024,Drama,
Üç Günlük Dünya,2024,Comedy,
The Witch of Hamsann,2024,Horror,"Four friends set out to document a small town urban legend. What they uncover, will change its history forever."
Meinong's Jungle,2024,"Action, Drama, Sci-Fi",A Colombian quantum programmer tries to reunite his theater group to make a surreal sci-fi movie.
Karate Kid,2024,Action,Plot under wraps.
Untitled Vicky Kaushal/Anand Tiwari/Karan Johar Project,2024,"Comedy, Romance",Plot under wraps
Filme Gel,2024,Comedy,"Necmi, Çetin and Muzo's biggest dream is to shoot a movie. For this they need money. Fortune smiles on their faces and they meet Kerim from Kadirga. Kerim sponsors the film they are going to make. The only requirement is to play the leading role in the movie. Of course, there is a small problem. Kadirgali Kerim is a mafia."
Dakota,2024,Drama,
Agent Narasimha-117,2024,"Action, Drama",Budget joins a zamindar's house as a maid but becomes a villain. A girl is tied up in a dark room to look for a necklace and later tortured for it. The house is then termed 'Bhoot Bungalow'.
Love Mountain,2024,"Drama, Romance","While celebrating their 12 year anniversary, Joseph learns that he has a child from a previous relationship."
Fallen,2024,Drama,
Hayatla Baris,2024,"Biography, Drama, Sport",
Ekip Siberay,2024,Animation,
Taktik 6,2024,Animation,
Tay 2,2024,Animation,
Tyrant,2024,Action,The story of people who gather to occupy samples for different purposes after the last sample of the so-called 'Tyrant Program' disappears in a delivery accident.
Vamp Camp: Being a Melodrama in Three Parts,2024,"Drama, Horror, Romance",
Tobias and the Arcane Merchant,2024,"Animation, Drama, Sci-Fi, Thriller",Tobias the Hybrid Tram Engine's sense of identity is thrown into question when a mysterious enemy returns to the railway with a hidden agenda and throws everyone's lives into chaos.
Cosmica,2024,Documentary,"A former legal professional embarks on a transformative spiritual journey after a supernatural encounter with her ancestors, discovering her healing gifts through the ancient art of Reiki."
Man Freed,2024,Drama,"Romanticism meets the metaphysical as Lord Byron's famous closet drama makes its debut on screen, adapted and reimagined."
